id_del_proceso,referencia_del_proceso,entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,modalidad_corta,tipo_de_contrato,nombre_del_procedimiento,fecha_de_publicacion_del,fecha_adjudicacion,anio_adjudicacion,precio_base,valor_total_adjudicacion,respuestas_al_procedimiento,proveedores_unicos_con,proveedores_invitados,rango_oferentes,baja_competencia,nombre_del_proveedor,nit_del_proveedor_adjudicado,departamento_proveedor,ciudad_proveedor,estado_del_procedimiento,estado_resumen
CO1.REQ.8610154,SASD-191-CENACAVIACION-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),CENAC AVIACION,830039207,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,SERVICIOS DE MANTENIMIENTO Y/O EXCHANGE; ADQUISICIÓN DE COMPONENTES UH60 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-07-23,2025-08-19,2025.0,10979236356,40000,11,11,17,6+ oferentes,0,AVIATION INTERNATIONAL SOLUTIONS,80-0696494, Florida,No Definido,Seleccionado,Adjudicado
CO1.REQ.8656014,IPMC-014-2025,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),899999027,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,Adquisición de certificados de firma digital centralizado y para facturación electrónica de persona jurídica; que garanticen la capacidad de la arquitectura tecnológica en el momento del registro de l,2025-07-31,2025-08-21,2025.0,57004275,37842000,3,3,0,2-5 oferentes,0,Gestión de Seguridad Electrónica S.A.,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.976985,LP-DT-CAU-003-2019_3 (Fase de Selección (Presentación de ofertas)),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Licitación Obra Pública,Obra,MANTENIMIENTO RUTINARIO; DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS; DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA) (Fase de Selección (Presentación de,2019-09-30,2022-07-08,2022.0,53520784298,1217527123,51,51,0,6+ oferentes,0,COOPERATIVA DE TRABAJO ASOCIADO SIGLO XXI,817002635,Cauca,Bolívar,Seleccionado,Adjudicado
CO1.REQ.9500237,FLO-INFRA-SA-MC-007-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE FLORIDABLANCA,890205176,Santander,Floridablanca,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Obra,ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA; SANTANDER (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2025-12-30,2026-01-27,2026.0,305813941,305644297,3,3,10,2-5 oferentes,0,CONSTRUOBRAS ISAVAL S.A.S,No Definido,Santander,Bucaramanga,Seleccionado,Adjudicado
CO1.REQ.9263598,IP-2025-145,ALCALDIA DE PASTO,891280000,Nariño,Pasto,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,MINIMA IMPLEMENTOS DE GIMNASIO,2025-11-13,2025-12-02,2025.0,92400000,82076690,5,5,0,2-5 oferentes,0,IMEDSUR SAS,900363690,Nariño,Pasto,Seleccionado,Adjudicado
CO1.REQ.6504622,SASI-0014-SG-2024 (Presentación de oferta),INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,800150861,Distrito Capital de Bogotá,No Definido,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICIÓN DE INSUMOS PARA LOS EQUIPOS DE ALTA TECNOLOGÍA DE LOS LABORATORIOS FORENSES DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES A NIVEL NACIONAL (Presentación de oferta),2024-07-16,2024-08-26,2024.0,3029087169,1634865104,15,4,0,6+ oferentes,0,CASA CIENTIFICA BLANCO Y COMPAÑIA SAS,860502528,Cundinamarca,No Definido,Seleccionado,Adjudicado
CO1.REQ.1340038,SELECCIÓN ABREVIADA 04-2020 MDN-EJC-ARC (Presentación de oferta),MINISTERIO DE DEFENSA NACIONAL,899999003,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Compraventa,ADQUISICIÓN DE RACIONES DE CAMPAÑA DE 24 HORAS NTMD 065-A6 (Presentación de oferta),2020-06-24,2020-08-19,2020.0,3422197977,3422164000,6,3,0,6+ oferentes,0,Industrias Alimentos y Catering SAS - Catalinsa SAS,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.855134,SMC-ICC-105-2019,INSTITUTO CARO Y CUERVO,899999096,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,ADQUISICIÓN DE ELEMENTOS DE PRODUCCIÓN AUDIOVISUAL,2019-05-08,2019-05-22,2019.0,14885941,9419000,8,8,0,6+ oferentes,0,DIGITAL CENTER VENTAS E IMPORTACIONES JE SAS,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.8509570,MC-022-2025,ALCALDIA MUNICIPAL CONTRATACION SANTANDER,890206058,Santander,Contratación,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,SUMINISTRO DE ALIMENTACIÓN Y HOSPEDAJE AL PERSONAL DE APOYO; COMISIÓN Y SERVICIOS EXTRAORDINARIOS EN EL MUNICIPIO DE CONTRATACIÓN SANTANDER; CON EL FIN DE FORTALECER LA SEGURIDAD Y LA CONVIVENCIA,2025-07-03,2025-07-15,2025.0,9960000,9080000,3,3,0,2-5 oferentes,0,JAIRO ROLON GELVEZ,No Definido,Bolívar,Simití,Seleccionado,Adjudicado
CO1.REQ.1139847,PN DIRAN SA 003 2020 (Presentación de oferta),DIRECCION DE ANTINARCOTICOS,800141379,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Suministros,SUMINISTRO DE COMBUSTIBLE DE AVIACIÓN PARA LAS AERONAVES DE LA POLICÍA NACIONAL O AL SERVICIO DE LA MISMA (Presentación de oferta),2020-02-10,2020-03-05,2020.0,25531587000,11312665,6,6,0,6+ oferentes,0,FASTER FUEL SAS,900185158,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.452960,CM-11-2018 (Presentación de oferta),MINISTERIO DE MINAS Y ENERGIA,899999022,Distrito Capital de Bogotá,Bogotá,Nacional,Concurso de méritos abierto,Concurso Méritos,Consultoría,ESTUDIO DE CALIDAD Y CUMPLIMIENTO DE PARÁMETROS DE LAS GASOLINAS  (Presentación de oferta),2018-06-08,2018-07-24,2018.0,1196790179,1005706033,3,3,0,2-5 oferentes,0,UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.8859587,CMC-047-2025,MUNICIPIO DE PUERTO NARE,8909810008,Antioquia,Puerto Nare,Territorial,Mínima cuantía,Mínima Cuantía,Seguros,CMC-047-2025,2025-09-04,2025-09-11,2025.0,39858000,39857999,1,1,0,1 oferente,1,Aseguradora Solidaria de Colombia Entidad Cooperativa.,860524654,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.374335,MÍNIMA CUANTÍA N° 10 -2018 MDN-UGG-DA,MINISTERIO DE DEFENSA NACIONAL,899999003,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,SERVICIO DE MANTENIMIENTO DE LA INFRAESTRUCTURA QUE SOPORTA EL SISTEMA DE CATALOGACIÓN,2018-03-12,2018-03-27,2018.0,44766000,36450000,2,2,0,2-5 oferentes,0,BIT512 SOLUCIONES TI S.A.S,900976953,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.1989345,MC-061-CENAC-REGIONAL-USAQUEN-2021,Central administrativa regional Usaquen,800131070,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Otro,MC-061-CENAC-REGIONAL-USAQUEN-2021,2021-04-23,2021-05-06,2021.0,11509276,11509276,1,1,0,1 oferente,1,FLOTA LA MACARENA S.A,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.431813,383-CENACPERSONAL-2018,CENTRAL ADMINISTRATIVA Y CONTABLE CENAC PERSONAL,900385079,Distrito Capital de Bogotá,Bogotá,Territorial,Mínima cuantía,Mínima Cuantía,Prestación de servicios,PUBLICACIÓN DE AVISOS Y/O EDICTOS,2018-05-11,2018-05-21,2018.0,1904000,1800000,1,1,0,1 oferente,1,EDITORIAL LA UNIDAD S.A. EN EJECUCION DEL ACUERDO DE REESTRUCTURACION,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.6250269,SAMC-04-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDÍA MUNICIPIO DE BELLO,890980112,Antioquia,Bello,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,Servicio de Aseo- Alcaldía de Bello (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2024-05-16,2024-06-06,2024.0,524240442,523988010,1,1,2,1 oferente,1,Serintegrales S.I. S.A.S,800096064,Antioquia,Medellín,Seleccionado,Adjudicado
CO1.REQ.1429740,PN MEBUC SA MC 009 2020 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),POLICIA METROPOLITANA DE BUCARAMANGA,900233117,Santander,Bucaramanga,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Suministros,SUMINISTRO DE COMBUSTIBLE (VIGENCIA 2020  2021) (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2020-08-10,2020-09-03,2020.0,1832666166,52000000,8,8,14,6+ oferentes,0,JAIRO RODRIGUEZ ROLO,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.5063801,MP-SGB-SM-006-2023 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDÍA DE POPAYÁN,891580006,Cauca,Popayán,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,SERVICIOS DE LOGÍSTICA A TODO COSTO PARA LOS DIFERENTES EVENTOS Y ACTIVIDADES (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2023-09-15,2023-10-06,2023.0,206910800,206010800,1,1,5,1 oferente,1,JJA PRODUCCIONES SAS,901235624,Cauca,Popayán,Seleccionado,Adjudicado
CO1.REQ.459823,LP 04 DE 2018 (Presentación de oferta),AGENCIA DE DESARROLLO RURAL,900948958,Distrito Capital de Bogotá,No Definido,Nacional,Licitación pública,Licitación Pública,Prestación de servicios,SERVICIOS DE AOM PROYECTOS DE DISTRITOS DE RIEGO (Presentación de oferta),2018-06-14,2018-07-24,2018.0,6316408261,1751187871,8,8,0,6+ oferentes,0,CONSOCIO TRIANGULO DEL TOLIMA FASE I Y II DE 2018,No Definido,No Definido,No Definido,Seleccionado,Presentación de oferta
CO1.REQ.626913,305-019-2018,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE MAGANGUE,806003190,Bolívar,Magangué,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,TELEVISORES Y MAQUINAS DE CORTE DE PELO,2018-11-24,2018-11-29,2018.0,2045000,1720000,2,2,0,2-5 oferentes,0,MD MUEBLES DINASTIA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.5684049,SA-020-2023 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),DEPARTAMENTO DEL ATLANTICO**,890102006,Atlántico,Barranquilla,Territorial,Selección Abreviada de Menor Cuantía,Menor Cuantía,Prestación de servicios,PRESTACIÓN DE SERVICIOS PARA LA OPERACIÓN LOGÍSTICA DE LOS EVENTOS Y ACTIVIDADES QUE SE ADELANTEN A TRAVÉS DE LA SECRETARÍA DEL INTERIOR DEL DEPARTAMENTO DEL ATLÁNTICO . (Manifestación de interés (Me,2024-02-02,2024-02-20,2024.0,1160000000,67293246,5,5,25,2-5 oferentes,0,GRUPO CANABAL S.A.S.,900629649,Atlántico,Barranquilla,Seleccionado,Adjudicado
CO1.REQ.3948736,SA-003-2023-HOMIL (Presentación de oferta),HOSPITAL MILITAR CENTRAL,830040256,Distrito Capital de Bogotá,No Definido,Nacional,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Menor Cuantía (sin manif.),Suministros,INSUMOS MEDICO QUIRURGICOS (POR DECLARATORIA DE DESIERTO) (Presentación de oferta),2023-01-26,2023-02-22,2023.0,15319378000,200777500,14,14,0,6+ oferentes,0,LABORATORIOS GOTHAPLAST,830061856,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.7208957,MC-015-2024,MUNICIPIO DE FUNZA - ALCALDÍA DE FUNZA,899999433,Cundinamarca,Funza,Territorial,Mínima cuantía,Mínima Cuantía,Compraventa,ADQUISICIÓN DE EQUIPOS DE MEDICIÓN EN CAMPO (GPS) NECESARIOS PARA EL MANTENIMIENTO DE ÁREAS PROTEGIDAS Y DE IMPORTANCIA ECOSISTÉMICA; Y LA IMPLEMENTACIÓN DEL ESQUEMA DE PAGO POR SERVICIOS AMBIENTALES,2024-11-21,2024-12-04,2024.0,39567500,37000000,1,1,0,1 oferente,1,TECNOSOLUCIONES A&K SAS,901345795,Atlántico,Barranquilla,Seleccionado,Adjudicado
CO1.REQ.10248239,MC-RB-DR-0002-2026,Sena Regional Boyaca Grupo de Apoyo Administrativo Mixto,899999034,Boyacá,Sogamoso,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,CONTRATAR SERVICIOS DE REHABILITACIÓN PARA BENEFICIARIOS DEL SMA REGIONAL BOYACA,2026-03-11,2026-03-24,2026.0,25000000,25000000,1,1,0,1 oferente,1,SERVICIOS INTEGRALES DE REHABILITACION EN BOYACA LIMITADA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3276668,MC429-DIGSA/DMBUG-2022,DISPENSARIO MEDICO DE BUCARAMANGA*,901541137,Santander,Bucaramanga,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,PRESTACIÓN DE SERVICIOS DE GRUPO 1: ANÁLISIS FÍSICO QUÍMICO Y MICROBIOLÓGICO DE AGUA PARA CONSUMO HUMANO; GRUPO 2: ANÁLISIS DE VERTIMIENTOS. REQUERIDOS PARA FORTALECER EL PROGRAMA SALUD AMBIENTAL DEL,2022-08-25,2022-09-09,2022.0,63968000,31468000,5,5,0,2-5 oferentes,0,DILVAR JULIAN MORALES ZEA-VITAE CONSULTORIA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.5328320,DC-ED-SIE-015-2023 (Presentación de oferta),GOBERNACION DEL CAQUETA**,800091594,Caquetá,No Definido,Territorial,Selección abreviada subasta inversa,Subasta Inversa,Suministros,CONTRATO DE SUMINISTRO DOTACION DOCENTES Y ADMINISTRATIVOS 2023 (Presentación de oferta),2023-11-23,2023-12-01,2023.0,617610675,612875675,1,1,0,1 oferente,1,MONART ZOMAC SAS,No Definido,Caquetá,Florencia,Seleccionado,Adjudicado
CO1.REQ.972330,MC-INV-045-2019,COJAM,900577346,Valle del Cauca,Jamundí,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,SUMINISTRO DE EQUIPO Y HERRAMIENTAS Y SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE: LA MAQUINARIA DE LAS AREAS LABORALES DE LOS PPL Y MAQUINARIA Y EQUIPOS DE LOS PROYECTOS PRODUCT,2019-09-25,2019-10-10,2019.0,38477799,5584950,5,5,0,2-5 oferentes,0,MACROINDUSTRIA SAS,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.6529005,1.220.02.17.13-532-2024,GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD,890399029,Valle del Cauca,Cali,Territorial,Mínima cuantía,Mínima Cuantía,Prestación de servicios,CALIBRACION DE EQUIPOS,2024-07-18,2024-08-05,2024.0,95111179,6106931,10,10,0,6+ oferentes,0,LABORATORIO QTEST S.A.S,No Definido,Antioquia,Envigado,Seleccionado,Adjudicado
CO1.REQ.1242415,CON-10634 (Presentación de oferta),DEPARTAMENTO DE ANTIOQUIA//,890900286,Antioquia,Medellín,Territorial,Concurso de méritos abierto,Concurso Méritos,Interventoría,INTERVENTORÍA TÉCNICA; ADMINISTRATIVA; AMBIENTAL; FINANCIERA Y LEGAL PARA EL MEJORAMIENTO DE LA VÍA BARBOSA-CONCEPCIÓN EN EL DEPARTAMENTO DE ANTIOQUIA. (Presentación de oferta),2020-04-14,2020-06-23,2020.0,1636516464,1636502310,43,43,0,6+ oferentes,0,CONSORCIO VIA BARBOSA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.1635518,MC-ATL-0042-2020,SENA REGIONAL ATLANTICO,899999034,Atlántico,Barranquilla,Nacional,Mínima cuantía,Mínima Cuantía,Compraventa,CALZADO FUNCIONARIOS,2020-11-30,2020-12-04,2020.0,66837640,66670235,2,2,0,2-5 oferentes,0,PERMODA LTDA,860516806,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.910705,19000988 H4 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),AEROCIVIL,899999059,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Obra,ADECUACIÓN OFICINAS ÁREAS MISIONALES Y REMODELACION EN ÁREAS ADMINISTRATIVAS RIONEGRO ANTIOQUIA  (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),2019-07-12,2019-07-31,2019.0,239999761,227884136,15,15,86,6+ oferentes,0,CARLOS ALBERTO GONZALEZ CAMARGO,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.973078,LP-DT-BOY-003-2019 (Fase de Selección (Presentación de ofertas)),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Licitación Obra Pública,Obra,MANTENIMIENTO RUTINARIO VÍAS A CARGO DEL INSTITUTO NACIONAL DEL VÍAS DIRECCIÓN TERRITORIAL BOYACÁ. (Fase de Selección (Presentación de ofertas)),2019-09-25,2019-11-19,2019.0,30276233849,1190129459,22,22,0,6+ oferentes,0,CONSORCIO SUSACON 2022,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.1387400,PN UPRES DEANT SA SI 147-2020 (Presentación de oferta),UNIDAD PRESTADORA DE SALUD ANTIOQUIA,901363087,Antioquia,Envigado,Nacional,Selección abreviada subasta inversa,Subasta Inversa,Suministros,Adquisición de dispositivos médicos; material médico-quirúrgico; otros materiales para la adecuada prestación de los servicios de salud a los usuarios y beneficiarios que hacen parte del Subsistema de,2020-07-17,2020-09-11,2020.0,822528813,1811037,11,10,0,6+ oferentes,0,COHAN,No Definido,Antioquia,Medellín,Seleccionado,Adjudicado
CO1.REQ.16902,LP-AMP-056-2015 (Presentación de oferta),COLOMBIA COMPRA EFICIENTE,900514813,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación Pública Acuerdo Marco de Precios,Acuerdo Marco,Acuerdo Marco de Precios,Acuerdo Marco de Precios de Material de Intendencia (Presentación de oferta),2015-09-14,2015-12-22,2015.0,0,197000,30,30,0,6+ oferentes,0,UT OCE,No Definido,No Definido,No Definido,Seleccionado,Presentación de oferta
CO1.REQ.5252760,PN MECAL MIC 051 2023,POLICIA METROPOLITANA SANTIAGO DE CALI,800140625,Valle del Cauca,Cali,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,SERVICIO DE MANTENIMIENTO Y LIMPIEZA A TODO COSTO DE LAS PISCINAS DEL CENTRO VACACIONAL TULUÁ; INCLUIDO ELEMENTOS DE ASEO; MAQUINARIA; PRODUCTOS QUÍMICOS; EXÁMENES FISICOQUIMICO Y MICROBILOLOGICO DE L,2023-11-27,2023-12-10,2023.0,27300000,20930000,4,4,0,2-5 oferentes,0,POOL SECURITY SOLUTION SAS,No Definido,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.810103,LP-DT-CAS-001-2019 (Fase de Selección (Presentación de ofertas)),INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Licitación Obra Pública,Obra,MANTENIMIENTO RUTINARIO VÍAS A CARGO DEL INSTITUTO NACIONAL DEL VÍAS DIRECCIÓN TERRITORIAL CASANARE. (Fase de Selección (Presentación de ofertas)),2019-03-12,2019-05-15,2019.0,3225297489,214941324,12,12,0,6+ oferentes,0,MULTIOBRAS DE LA ORINOQUIA S.A.S,No Definido,No Definido,No Definido,Seleccionado,Fase de Selección (Presentación de ofertas)
CO1.REQ.375395,SAMC 001-2018 HOSMIL UAPL GASA (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),HOSPITAL MILITAR CENTRAL,830040256,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Suministros,SUMINISTRO DE KITS LAVADO DE PRENDAS Y DE ELEMENTOS E INSUMOS PARA LA EJECUCION DE PROCESOS DE LIMPIEZA Y DESINFECCION EN ALGUNAS DE LAS ÁREAS HOSPITAL MILITAR CENTRAL (Manifestación de interés (Men,2018-03-05,2018-03-22,2018.0,189897220,134897220,2,2,8,2-5 oferentes,0,COMPAÑIA ASESORA DE ESPECIALIDADES QUIMICAS S.A.S.,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3723247,MC-63-2022,ALCALDIA DE HONDA,800100058,Tolima,Honda,Territorial,Mínima cuantía,Mínima Cuantía,Suministros,ELEMENTOS INPEC,2022-12-12,2022-12-19,2022.0,28000000,28000000,0,0,0,Sin ofertas,1,PROYECTOS Y SOLUCIONES INTEGRALES PARA EL DESARROLLO,No Definido,Tolima,Mariquita,Seleccionado,Adjudicado
CO1.REQ.3044308,20220603-04-16,INSTITUTO DE ATENCION A LA FAMILIA,8908042569,Caldas,Manizales,Territorial,Mínima cuantía,Mínima Cuantía,Prestación de servicios,PRESTACIÓN DE SERVICIOS COMO PROFESIONAL EN PSICOLOGÍA PARA DICTAR CONFERENCIA VIRTUAL ENFOCADA EN LAS MANIFESTACIONES DE VIOLENCIA DE GÉNERO E INTRAFAMILIAR CON ENFOQUE DIFERENCIAL E INTERSECTORIAL,2022-06-05,2022-06-23,2022.0,1550000,1550000,2,2,0,2-5 oferentes,0,Fundacion Natalia Ponce de León,No Definido,Distrito Capital de Bogotá,Bogotá,Seleccionado,Adjudicado
CO1.REQ.7720264,100794,FABRICA DE LICORES Y ALCOHOLES DE ANTIOQUIA,901436775,Antioquia,Itagui,Corporación Autónoma,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Prestación de servicios,PRESTACIÓN DE SERVICIOS PARA LA INTEGRACIÓN Y GENERACIÓN DE LA NÓMINA ELECTRÓNICA  DE ACUERDO CON LOS LINEAMIENTOS EMITIDOS POR LA DIAN; AL SERVICIO DE LA FÁBRICA DE LICORES Y  ALCOHOLES DE ANTIOQUIA,2025-02-11,2025-02-25,2025.0,5481073,1306360,3,3,0,2-5 oferentes,0,CADENA S.A,890930534,Antioquia,La Estrella,Seleccionado,Adjudicado
CO1.REQ.3711059,DS-LP-22-01 (Presentación de oferta),DEPARTAMENTO DE SANTANDER,890201235,Santander,Bucaramanga,Territorial,Licitación pública,Licitación Pública,Prestación de servicios,IMPLEMENTACIÓN DE UNA ESTRATEGIA DE PROMOCIÓN DEL ENVEJECIMIENTO ACTIVO Y EL BIENESTAR DIRIGIDA A LA POBLACIÓN ADULTO MAYOR DEL DEPARTAMENTO DE SANTANDER (Presentación de oferta),2022-12-07,2022-12-29,2022.0,3000000000,2999590000,0,0,0,Sin ofertas,1,UNION TEMPORAL SANTANDER SE ACTIVA 2023,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3267113,MP-SAYDR-MC-CV-093-2022,ALCALDÍA MUNICIPIO DE PALMIRA,891380007,Valle del Cauca,Palmira,Territorial,Mínima cuantía,Mínima Cuantía,Compraventa,COMPRAVENTA DE INSUMOS PARA LA CADENA PRODUCTIVA APOYADA EN PORCICULTURA EN EL MARCO DEL PROYECTO  2000120 - FORTALECIMIENTO DE ENCADENAMIENTOS AGROPECUARIOS MEDIANTE MEJORAMIENTO; ADECUACIÓN Y/O CONS,2022-08-23,2022-09-07,2022.0,60000000,56882199,1,1,0,1 oferente,1,SERVICIOS TECNICOS CADAJE SAS,No Definido,Valle del Cauca,Palmira,Seleccionado,Adjudicado
CO1.REQ.8595761,PN ESSUM CD 034 2025,ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,808000859,Cundinamarca,Fusagasugá,Nacional,Contratación Directa (con ofertas),Directa (ofertas),Otro,ARRENDAMIENTO LOCAL ALMACEN Y SASTRERIA ESGON,2025-07-25,2025-08-19,2025.0,7920000,7920000,1,1,1,1 oferente,1,karen rocio cardoso diaz,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.3061209,108-MDN-COGFM-DIGSA-JEFSA-FAC-2022,JEFATURA SALUD FUERZA AEREA,901440176,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Mínima Cuantía,Prestación de servicios,MANTENIMIENTO EQUIPOS DE SALAS DE CIRUGIA Y SOPORTE RESPIRATORIO,2022-06-21,2022-07-14,2022.0,71047630,15828256,6,6,0,6+ oferentes,0,G BARCO SA,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.2326631,PN DIPRO SA MC 039 2021 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),DIRECCION DE PROTECCION Y SERVICIOS ESPECIALES,9002592122,Distrito Capital de Bogotá,Bogotá,Nacional,Selección Abreviada de Menor Cuantía,Menor Cuantía,Compraventa,ADQUISICIÓN DE VEHÍCULOS ESPECIALES PARA LAS ÁREAS MISIONALES DE  LA DIRECCIÓN DE PROTECCIÓN Y SERVICIOS ESPECIALES DE LA POLICÍA NACIONAL; LOTE N° 1 UNIDAD MÓVIL DE PREVENCIÓN; LOTE N° 2 UNIDAD MÓVI,2021-09-22,2021-10-19,2021.0,1999947830,293600000,3,3,4,2-5 oferentes,0,7M GROUP SA,830121654,Distrito Capital de Bogotá,No Definido,Seleccionado,Adjudicado
CO1.REQ.3775092,SASP1622 (Presentación de oferta),INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,891280001,Nariño,No Definido,Territorial,Selección abreviada subasta inversa,Subasta Inversa,Suministros,SUMINISTRO DE REACTIVOS (Presentación de oferta),2022-12-29,2023-01-31,2023.0,133482208,1129716,5,5,0,2-5 oferentes,0,JAVIER ROSERO ROSERO,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
CO1.REQ.903445,IMC  FIP 02 DE 2019,PROSPERIDAD SOCIAL,900039533,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial (con ofertas),Rég. Especial (ofertas),Otro,Adquirir tulas como material de empaque; para entregar los bienes en especie en calidad de donación a la población del sector de la inclusión social y la reconciliación damnificada por desastres natur,2019-07-04,2019-07-29,2019.0,40000000,40000000,9,9,0,6+ oferentes,0,TRENDY SUPPLIERS SAS,No Definido,No Definido,No Definido,Seleccionado,Adjudicado
